apt_group,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,nation,pca_x,pca_y,cluster
Sea Turtle,-0.1789608597755432,-0.29995056986808777,-0.19675365090370178,0.3490830361843109,0.7471799254417419,-0.361528605222702,-0.0992761179804802,0.15487758815288544,-0.2727161943912506,-0.1483667641878128,-0.46821150183677673,0.17549070715904236,-0.5272350311279297,0.2533932626247406,-0.15535780787467957,-0.1803208738565445,0.027161214500665665,0.44958552718162537,0.36562076210975647,-0.1232794001698494,0.3378237187862396,0.07950884848833084,-0.021380512043833733,-0.4057132303714752,-0.29145491123199463,0.24583449959754944,0.40390822291374207,-0.1873110830783844,-0.14178940653800964,0.03344668447971344,0.11895906180143356,-0.3413959741592407,0.45412731170654297,-0.2778483033180237,-0.29141679406166077,0.2562464475631714,-0.12242314219474792,0.02238524705171585,-0.03206668794155121,0.10626831650733948,0.32497715950012207,0.48598068952560425,0.2619466185569763,0.049982402473688126,-0.010110823437571526,0.45407503843307495,0.42833587527275085,-0.30130016803741455,0.25651541352272034,-0.20133128762245178,-0.018670476973056793,0.06368987262248993,0.32821211218833923,0.11930505931377411,-0.07145755738019943,0.042364414781332016,-0.16118821501731873,-0.26508888602256775,0.08029842376708984,-0.018635697662830353,0.12364748865365982,0.4333533048629761,0.2956710159778595,0.074092797935009,Others,-0.20184553374784073,0.26822394341618844,4
BITTER,-0.3133406341075897,-0.16870471835136414,0.19360506534576416,0.016651909798383713,-0.0696970671415329,-0.543082594871521,-0.20151668787002563,-0.16510756313800812,0.09554947167634964,-0.016614997759461403,-0.2286008596420288,-0.18878541886806488,-0.08682124316692352,-0.1370074450969696,0.008270513266324997,0.46720150113105774,0.013795087113976479,-0.08221741765737534,-0.227659672498703,-0.21395578980445862,0.2000620812177658,-0.4710875153541565,0.10359585285186768,-0.08937685936689377,0.04162699356675148,-0.47784632444381714,0.2356170117855072,0.3217482268810272,-0.06830644607543945,0.4137389361858368,-0.1241675466299057,0.04307644069194794,-0.07830347120761871,-0.18799778819084167,-0.10208362340927124,-0.011709742248058319,-0.08668622374534607,-0.2878436744213104,0.07175757735967636,0.3098548352718353,0.2482614368200302,0.34314024448394775,0.20960992574691772,-0.03292396292090416,-0.20181511342525482,-0.11698660999536514,0.22580182552337646,0.22008615732192993,-0.012101118452847004,-0.2984371483325958,-0.14868341386318207,-0.03550122305750847,-0.27188995480537415,0.08536133170127869,-0.32083481550216675,-0.052543845027685165,-0.4667288362979889,-0.48662424087524414,-0.19696493446826935,-0.29731786251068115,-0.1149149015545845,0.19133104383945465,-0.12377671897411346,0.5627409219741821,Others,0.6188951595211698,-0.28485401850559183,3
AppleJeus,0.75607830286026,-0.2411542385816574,0.03475712239742279,0.49749982357025146,0.13273823261260986,-0.18882621824741364,-0.6879762411117554,0.23440290987491608,-0.26274338364601135,-0.062193699181079865,-0.5039583444595337,0.10392992943525314,0.058329738676548004,0.5554078817367554,0.42841780185699463,-0.25642889738082886,-0.010816807858645916,0.22462821006774902,0.49861234426498413,0.043941132724285126,0.9084829092025757,-0.06084458529949188,-0.1482972651720047,-0.29662662744522095,-0.3984887897968292,-0.18404467403888702,0.13982407748699188,-0.32358261942863464,-0.1200864240527153,0.07371517270803452,0.3044029474258423,-0.3953911364078522,0.2131841629743576,0.2178746610879898,-0.2578967213630676,0.11033836752176285,0.10065881162881851,-0.20443472266197205,-0.02525182254612446,-0.9709193706512451,0.014745884574949741,0.38685664534568787,0.4206017255783081,-0.4943080544471741,-0.05868913605809212,-0.15911267697811127,0.6970217823982239,-0.15904253721237183,0.15895022451877594,-0.10559123009443283,0.08807515352964401,0.02548699453473091,0.10130047053098679,-0.14627480506896973,-0.5695322155952454,-0.2526697516441345,-0.19772523641586304,-0.4173508882522583,0.09832726418972015,0.026163719594478607,-0.11650542169809341,-0.16536572575569153,-0.21124672889709473,-0.15560297667980194,North Korea,-0.4263961978922172,0.7934778472878883,1
Carbanak,-0.13279743492603302,-0.02009173296391964,0.08433651179075241,0.5510990619659424,-0.12305150181055069,-0.4272567629814148,-0.04187735170125961,-0.10315735638141632,-0.3226065933704376,0.06079959496855736,-0.32338282465934753,-0.04357592761516571,-0.06698670983314514,-0.09564538300037384,-0.35726621747016907,0.1452760398387909,0.00776181323453784,-0.24622593820095062,0.19950616359710693,-0.16710959374904633,-0.11011075973510742,0.08170303702354431,0.04731818288564682,0.12314827740192413,-0.33995646238327026,0.0010847521480172873,0.36120396852493286,0.16341179609298706,0.43411433696746826,-0.12850837409496307,-0.1619282364845276,0.1693512350320816,0.4098424017429352,0.13087500631809235,-0.306822806596756,0.3876553475856781,0.5676040053367615,0.06962142139673233,0.09340933710336685,-0.3253868818283081,0.5772141814231873,-0.23381808400154114,-0.0009506126516498625,-0.5151880383491516,-0.05583208426833153,0.39037391543388367,0.2727823257446289,-0.15529683232307434,-0.09232191741466522,-0.15735985338687897,-0.29740023612976074,-0.21107837557792664,-0.119602270424366,0.14456601440906525,-0.27505481243133545,-0.20799115300178528,0.5076899528503418,0.09316129982471466,0.24205800890922546,-0.2629796266555786,-0.5556662082672119,-0.11665549129247665,-0.6796903610229492,0.9412570595741272,Others,-0.3723201098248398,-0.014810441834201285,1
APT33,0.3019331991672516,-0.5838795304298401,0.06728346645832062,0.01140440721064806,0.15773418545722961,-0.2482684701681137,0.1610901653766632,-0.031019246205687523,0.008547979407012463,-0.11081983894109726,0.08019901812076569,-0.0404907763004303,-0.1894146353006363,-0.09080341458320618,0.030412303283810616,-0.17653727531433105,-0.0007711161742918193,0.09111884236335754,0.33481311798095703,-0.13896781206130981,0.23524212837219238,-0.03598681837320328,0.20561005175113678,-0.24180012941360474,0.13881094753742218,0.035001687705516815,-0.01171202678233385,-0.04726283252239227,-0.04218569025397301,-0.07082205265760422,-0.07666013389825821,0.002521730726584792,0.36171162128448486,-0.23465804755687714,0.3056449294090271,-0.0797979012131691,0.12839969992637634,-0.857013463973999,-0.13171333074569702,0.28569039702415466,0.37045201659202576,-0.03621720150113106,0.125263512134552,0.14714984595775604,0.002878163941204548,-0.11133190989494324,-0.22254708409309387,0.6361743211746216,-0.290643572807312,-0.056711237877607346,0.12418999522924423,0.006117662880569696,-0.10376206040382385,0.36921989917755127,-0.18162034451961517,-0.6645185351371765,-0.11826902627944946,-0.07075846195220947,0.12507925927639008,-0.09476177394390106,-0.05673251301050186,-0.15132839977741241,-0.030425457283854485,0.09930237382650375,Iran,0.26527090001713943,-0.07640655928611279,4
BlackByte,0.25720369815826416,-0.01486028078943491,0.12910865247249603,0.27194273471832275,0.09096740931272507,-0.0485190711915493,0.019735844805836678,-0.016530798748135567,-0.27592796087265015,-0.09949160367250443,0.06053139269351959,-0.1802670657634735,0.09676460176706314,0.3591419756412506,0.1395493745803833,0.11961844563484192,-0.5194272398948669,0.07532601058483124,0.01133595872670412,-0.09369093179702759,0.27819883823394775,0.33639878034591675,0.24795785546302795,-0.04782626032829285,-0.12997236847877502,-0.19096405804157257,-0.10853493958711624,0.0044237542897462845,-0.042001836001873016,0.364738792181015,0.0376647487282753,-0.05033702775835991,-0.08063528686761856,0.215876504778862,-0.2882409989833832,-0.23134995996952057,0.3150041401386261,-0.25374820828437805,0.38554647564888,-0.24851016700267792,-0.06409046053886414,0.06717968732118607,0.5583258271217346,0.04117349907755852,-0.012126726098358631,0.5319932699203491,-0.18448477983474731,-0.2686002850532532,0.08122847229242325,0.14687758684158325,-0.1214086189866066,0.08809296786785126,-0.18179230391979218,0.029368432238698006,-0.2024482786655426,0.18383687734603882,0.21823246777057648,-0.0192397627979517,0.049262117594480515,-0.18216131627559662,-0.13507646322250366,0.4145806133747101,-0.18336911499500275,0.556107759475708,Others,-0.677397596118489,0.0526234899262138,1
FIN13,0.054889027029275894,-0.16487330198287964,0.20099598169326782,0.41575172543525696,0.19354723393917084,-0.32003432512283325,-0.00871692318469286,-0.17751605808734894,-0.4303697943687439,-0.1350875049829483,-0.2808629274368286,-0.08750299364328384,-0.24606117606163025,0.29253655672073364,0.30424758791923523,0.20008526742458344,0.19567182660102844,0.05506410077214241,0.01388165820389986,0.030513247475028038,0.021822718903422356,0.02585405856370926,-0.010505727492272854,-0.375380277633667,-0.0496336854994297,0.0016969067510217428,-0.03161948174238205,0.07475274056196213,0.2023918479681015,-0.039215296506881714,0.2031143754720688,-0.44905999302864075,-0.16415788233280182,-0.06440369784832001,-0.056079428642988205,-0.26853328943252563,0.2547587752342224,-0.05405755341053009,0.6235319375991821,0.04225665330886841,0.07079318910837173,-0.4012834429740906,0.3112456798553467,-0.08838251978158951,0.31873077154159546,-0.06644308567047119,0.11829964816570282,0.060485292226076126,0.23598593473434448,0.28755635023117065,-0.05961957573890686,0.028471602126955986,-0.28071731328964233,-0.10951463878154755,-0.1194133386015892,-0.26195645332336426,0.0868992730975151,-0.48760539293289185,0.10667173564434052,0.18977423012256622,-0.1216873824596405,0.12888386845588684,-0.0936497300863266,-0.09466393291950226,Others,-0.619372884822175,-0.2755812545253782,4
ToddyCat,0.03813759610056877,-0.03405245766043663,-0.23889324069023132,-0.05916979908943176,0.3763122856616974,-0.14525888860225677,0.42172250151634216,0.40821123123168945,-0.5712754726409912,-0.040562380105257034,-0.12291793525218964,-0.034877412021160126,-0.18585284054279327,0.014104867354035378,-0.2029281109571457,-0.05578937008976936,0.06446774303913116,-0.19263575971126556,-0.06248670816421509,0.010094630531966686,0.3803023397922516,0.5940040946006775,-0.22579586505889893,-0.48484137654304504,0.21911630034446716,-0.20555876195430756,-0.10193520784378052,0.2292303442955017,-0.2689679265022278,-0.012766680680215359,0.08349089324474335,0.16833306849002838,0.17626534402370453,0.11110729724168777,-0.3447667062282562,-0.04100869596004486,0.28948938846588135,-0.13879813253879547,0.27032503485679626,-0.13051454722881317,0.1988593190908432,0.004989027511328459,0.3649487793445587,-0.11041921377182007,-0.4053095281124115,-0.030578162521123886,-0.15565232932567596,-0.23403893411159515,-0.16550540924072266,0.16214951872825623,-0.2955262362957001,-0.05467192828655243,-0.08525900542736053,0.21781504154205322,0.3030804693698883,0.11866351962089539,-0.10488415509462357,-0.2630690932273865,-0.1767590194940567,-0.16228680312633514,-0.04853641986846924,0.20649193227291107,-0.5495792627334595,0.05601382628083229,Others,-0.5495950652517988,-0.26509873487349156,4
Dragonfly,0.37984105944633484,-0.23468318581581116,0.10793016105890274,0.386775940656662,0.11860564351081848,0.014812937937676907,0.11032263189554214,0.17070627212524414,-0.0771404355764389,0.23804950714111328,0.07840760052204132,0.062028877437114716,-0.06315122544765472,0.2866270840167999,0.2687050700187683,0.3381209671497345,0.218962162733078,0.009511962532997131,0.11139164119958878,0.20387540757656097,-0.00207694829441607,0.35724151134490967,-0.23347772657871246,-0.08248758316040039,-0.2446049004793167,-0.39082491397857666,0.1459076851606369,0.15228812396526337,0.3098803162574768,0.3390853703022003,0.2969207763671875,-0.3461320102214813,-0.06302845478057861,-0.10351032763719559,-0.037837620824575424,0.04315740615129471,0.12131299823522568,0.04501431807875633,0.12992405891418457,0.1210327073931694,0.26757389307022095,0.16164955496788025,-0.21405024826526642,-0.027665115892887115,0.0032073291949927807,0.08271855115890503,-0.32261115312576294,0.010354056023061275,0.11934103816747665,-0.044817641377449036,-0.14493319392204285,0.15734626352787018,0.305257111787796,0.25142979621887207,0.13966190814971924,-0.28721854090690613,-0.27886101603507996,-0.2575528919696808,0.2948097288608551,0.04842185229063034,-0.058390967547893524,0.33631113171577454,-0.1791914403438568,0.40424177050590515,Russia,-0.17072450931601152,0.009214469033573215,4
Suckfly,-0.09076821804046631,0.01362513191998005,0.6339680552482605,0.3269899785518646,0.39195510745048523,-0.1781998723745346,0.21667227149009705,0.13950416445732117,-0.21227964758872986,-0.041639525443315506,0.09092583507299423,0.024962397292256355,0.29944145679473877,-0.2304125726222992,0.12755660712718964,0.23494459688663483,-0.5130931735038757,-0.3243725299835205,0.026899879798293114,0.057839587330818176,-0.15322983264923096,0.5480479001998901,0.3936404287815094,-0.6038147211074829,-0.29091840982437134,-0.10072792321443558,0.5019813179969788,-0.2562411427497864,0.4652799665927887,-0.06735694408416748,-0.12134116888046265,-0.3449987471103668,0.20027092099189758,0.3257518708705902,0.24560019373893738,-0.015320663340389729,-0.0026560418773442507,-0.6448374390602112,-0.14006143808364868,-0.2470879703760147,-0.1410893052816391,0.14171621203422546,0.3171848952770233,-0.18647517263889313,0.08462756127119064,0.43577080965042114,0.08781489729881287,-0.5325555205345154,-0.031781669706106186,-0.312045693397522,0.21303150057792664,0.47607332468032837,-0.4874260127544403,-0.06579327583312988,-0.10229620337486267,-0.13855774700641632,0.09058879315853119,-0.0443541444838047,0.21150842308998108,0.11838582158088684,0.2674873173236847,-0.0872730165719986,-0.16099177300930023,0.3580281436443329,Others,-0.52482462775339,0.024956212526971243,4
