technique,mitigation_count,mitigation_names,has_defence
Standard Encoding,1,Network Intrusion Prevention,True
Software Deployment Tools,10,Active Directory Configuration | Limit Software Installation | Multi-factor Authentication | Network Segmentation | Password Policies | Privileged Account Management | Remote Data Storage | Update Software | User Account Management | User Training,True
Internal Proxy,1,Network Intrusion Prevention,True
Steganography,1,Network Intrusion Prevention,True
Compiled HTML File,2,Execution Prevention | Restrict Web-Based Content,True
BITS Jobs,3,Filter Network Traffic | Operating System Configuration | User Account Management,True
Link Target,1,Pre-compromise,True
Vulnerabilities,1,Pre-compromise,True
Permission Groups Discovery,0,,False
Protocol Tunneling,2,Filter Network Traffic | Network Intrusion Prevention,True
Windows Service,5,Audit | Behavior Prevention on Endpoint | Code Signing | Operating System Configuration | User Account Management,True
Account Discovery,2,Operating System Configuration | User Account Management,True
Additional Local or Domain Groups,0,,False
Spearphishing Voice,1,User Training,True
Remote Desktop Protocol,8,Audit | Disable or Remove Feature or Program | Limit Access to Resource Over Network | Multi-factor Authentication | Network Segmentation | Operating System Configuration | Privileged Account Management | User Account Management,True
Template Injection,4,Antivirus/Antimalware | Disable or Remove Feature or Program | Network Intrusion Prevention | User Training,True
Create Cloud Instance,2,Audit | User Account Management,True
Bypass User Account Control,4,Audit | Privileged Account Management | Update Software | User Account Control,True
Forced Authentication,2,Filter Network Traffic | Password Policies,True
Query Public AI Services,1,Pre-compromise,True
Escape to Host,5,Application Isolation and Sandboxing | Disable or Remove Feature or Program | Execution Prevention | Privileged Account Management | Update Software,True
Search Open Technical Databases,1,Pre-compromise,True
Credentials In Files,4,Audit | Password Policies | Restrict File and Directory Permissions | User Training,True
One-Way Communication,2,Network Intrusion Prevention | Restrict Web-Based Content,True
Fallback Channels,1,Network Intrusion Prevention,True
Drive-by Target,1,Pre-compromise,True
Domain Trust Discovery,2,Audit | Network Segmentation,True
Peripheral Device Discovery,0,,False
Masquerading,8,Antivirus/Antimalware | Audit | Behavior Prevention on Endpoint | Code Signing | Execution Prevention | Restrict File and Directory Permissions | User Account Management | User Training,True
Port Knocking,1,Filter Network Traffic,True
Non-Standard Encoding,1,Network Intrusion Prevention,True
XSL Script Processing,1,Execution Prevention,True
Virtual Machine Discovery,0,,False
Virtual Private Server,1,Pre-compromise,True
Application Access Token,5,Account Use Policies | Application Developer Guidance | Audit | Encrypt Sensitive Information | Restrict Web-Based Content,True
Accessibility Features,3,Execution Prevention | Limit Access to Resource Over Network | Operating System Configuration,True
Virtualization/Sandbox Evasion,0,,False
Password Filter DLL,1,Operating System Configuration,True
Audio Capture,0,,False
Cloud Instance Metadata API,3,Disable or Remove Feature or Program | Filter Network Traffic | Limit Access to Resource Over Network,True
Trust Modification,2,Privileged Account Management | User Account Management,True
Masquerade File Type,3,Antivirus/Antimalware | Behavior Prevention on Endpoint | Execution Prevention,True
Linux and Mac Permissions,2,Privileged Account Management | Restrict File and Directory Permissions,True
IP Addresses,1,Pre-compromise,True
Sharepoint,3,Audit | User Account Management | User Training,True
Mail Protocols,2,Filter Network Traffic | Network Intrusion Prevention,True
Dynamic API Resolution,0,,False
Cached Domain Credentials,5,Active Directory Configuration | Operating System Configuration | Password Policies | Privileged Account Management | User Training,True
Network Boundary Bridging,5,Credential Access Protection | Filter Network Traffic | Multi-factor Authentication | Password Policies | Privileged Account Management,True
DNS,3,Filter Network Traffic | Network Intrusion Prevention | Software Configuration,True
Remote Access Tools,5,Disable or Remove Feature or Program | Execution Prevention | Filter Network Traffic | Limit Hardware Installation | Network Intrusion Prevention,True
LNK Icon Smuggling,2,Antivirus/Antimalware | Behavior Prevention on Endpoint,True
External Defacement,1,Data Backup,True
Data Transfer Size Limits,1,Network Intrusion Prevention,True
Scan Databases,1,Pre-compromise,True
Archive via Custom Method,0,,False
Systemctl,1,User Account Management,True
Browser Information Discovery,0,,False
vSphere Installation Bundles,3,Audit | Boot Integrity | Code Signing,True
Boot or Logon Autostart Execution,0,,False
ESXi Administration Command,1,User Account Management,True
Dynamic Resolution,2,Network Intrusion Prevention | Restrict Web-Based Content,True
Exfiltration Over C2 Channel,2,Data Loss Prevention | Network Intrusion Prevention,True
Gather Victim Network Information,1,Pre-compromise,True
Endpoint Denial of Service,1,Filter Network Traffic,True
System Location Discovery,0,,False
Determine Physical Locations,1,Pre-compromise,True
Steal or Forge Authentication Certificates,4,Active Directory Configuration | Audit | Disable or Remove Feature or Program | Encrypt Sensitive Information,True
KernelCallbackTable,1,Behavior Prevention on Endpoint,True
RC Scripts,1,Restrict File and Directory Permissions,True
System Language Discovery,0,,False
Embedded Payloads,2,Antivirus/Antimalware | Behavior Prevention on Endpoint,True
Search Victim-Owned Websites,1,Pre-compromise,True
Windows Host Firewall,4,Audit | Restrict File and Directory Permissions | Restrict Registry Permissions | User Account Management,True
Clear Linux or Mac System Logs,3,Encrypt Sensitive Information | Remote Data Storage | Restrict File and Directory Permissions,True
Bootkit,2,Boot Integrity | Privileged Account Management,True
Invalid Code Signature,1,Code Signing,True
Odbcconf,2,Disable or Remove Feature or Program | Execution Prevention,True
Exploits,1,Pre-compromise,True
Scanning IP Blocks,1,Pre-compromise,True
Office Application Startup,4,Behavior Prevention on Endpoint | Disable or Remove Feature or Program | Software Configuration | Update Software,True
VNC,4,Audit | Disable or Remove Feature or Program | Filter Network Traffic | Limit Software Installation,True
Unix Shell Configuration Modification,1,Restrict File and Directory Permissions,True
Data from Network Shared Drive,0,,False
Boot or Logon Initialization Scripts,2,Restrict File and Directory Permissions | Restrict Registry Permissions,True
Msiexec,2,Disable or Remove Feature or Program | Privileged Account Management,True
Search Open Websites/Domains,2,Application Developer Guidance | Audit,True
Email Hiding Rules,1,Audit,True
CMSTP,2,Disable or Remove Feature or Program | Execution Prevention,True
Network Denial of Service,1,Filter Network Traffic,True
Credential Stuffing,4,Account Use Policies | Multi-factor Authentication | Password Policies | User Account Management,True
Reflective Code Loading,0,,False
Local Email Collection,2,Encrypt Sensitive Information | Out-of-Band Communications Channel,True
Kerberoasting,3,Encrypt Sensitive Information | Password Policies | Privileged Account Management,True
Acquire Infrastructure,1,Pre-compromise,True
Gather Victim Host Information,1,Pre-compromise,True
Business Relationships,1,Pre-compromise,True
Shared Modules,1,Execution Prevention,True
Name Resolution Poisoning and SMB Relay,4,Disable or Remove Feature or Program | Filter Network Traffic | Network Intrusion Prevention | Network Segmentation,True
System Checks,0,,False
Network Sniffing,4,Encrypt Sensitive Information | Multi-factor Authentication | Network Segmentation | User Account Management,True
Launch Agent,1,Restrict File and Directory Permissions,True
Network Topology,1,Pre-compromise,True
Identify Roles,1,Pre-compromise,True
Steal or Forge Kerberos Tickets,6,Active Directory Configuration | Audit | Credential Access Protection | Encrypt Sensitive Information | Password Policies | Privileged Account Management,True
Code Repositories,5,Application Developer Guidance | Audit | Multi-factor Authentication | User Account Management | User Training,True
PubPrn,2,Behavior Prevention on Endpoint | Execution Prevention,True
Access Token Manipulation,2,Privileged Account Management | User Account Management,True
Ignore Process Interrupts,0,,False
Indirect Command Execution,0,,False
Cloud Service Dashboard,1,User Account Management,True
Disable or Modify Windows Event Log,4,Audit | Restrict File and Directory Permissions | Restrict Registry Permissions | User Account Management,True
Cloud Secrets Management Stores,1,Privileged Account Management,True
Execution Guardrails,1,Do Not Mitigate,True
Windows Credential Manager,1,Disable or Remove Feature or Program,True
GUI Input Capture,1,User Training,True
Cron,2,Audit | User Account Management,True
Software Discovery,0,,False
Establish Accounts,1,Pre-compromise,True
Password Policy Discovery,1,Password Policies,True
Container CLI/API,2,Execution Prevention | Privileged Account Management,True
Clear Windows Event Logs,3,Encrypt Sensitive Information | Remote Data Storage | Restrict File and Directory Permissions,True
Taint Shared Content,4,Antivirus/Antimalware | Execution Prevention | Exploit Protection | Restrict File and Directory Permissions,True
