APT_Group,Technique,Year
Kimsuky,Match Legitimate Resource Name or Location,2022
Storm-0501,Windows Remote Management,2025
MuddyWater,Exfiltration to Cloud Storage,2026
APT28,NTDS,2021
FIN8,Windows Command Shell,2018
Mustang Panda,Masquerade File Type,2025
Mustang Panda,LNK Icon Smuggling,2025
GALLIUM,System Network Configuration Discovery,2019
Sandworm Team,External Defacement,2020
Contagious Interview,Domains,2025
VOID MANTICORE,Protocol Tunneling,2026
Aquatic Panda,Remote Desktop Protocol,2024
HAFNIUM,Remote System Discovery,2023
Play,Data Transfer Size Limits,2024
Volt Typhoon,Scan Databases,2024
Volt Typhoon,Keylogging,2024
APT42,Email Accounts,2025
Lazarus Group,Exploitation for Client Execution,2018
Mustang Panda,Digital Certificates,2025
Machete,Malicious Link,2020
APT38,Malicious File,2021
APT33,Credentials In Files,2020
Saint Bear,Malicious Link,2024
Kimsuky,Tool,2021
APT28,SMB/Windows Admin Shares,2021
FIN6,Archive via Custom Method,2017
Lazarus Group,Local Storage Discovery,2025
Group5,File Deletion,2017
Cobalt Group,XSL Script Processing,2018
FIN13,System Network Configuration Discovery,2023
Mustang Panda,System Network Configuration Discovery,2021
Rocke,Hidden Files and Directories,2020
LAPSUS$,DNS Server,2023
TeamTNT,Systemctl,2022
Volt Typhoon,Browser Information Discovery,2024
HAFNIUM,Trusted Relationship,2025
Tonto Team,External Proxy,2021
APT19,Rundll32,2018
Threat Group-1314,SMB/Windows Admin Shares,2017
Chimera,File Deletion,2021
Mustang Panda,JavaScript,2025
UNC3886,vSphere Installation Bundles,2025
LAPSUS$,Service Stop,2023
APT42,Boot or Logon Autostart Execution,2025
Leviathan,Regsvr32,2018
menuPass,NTDS,2020
Kimsuky,Native API,2026
BRONZE BUTLER,Archive via Utility,2018
menuPass,Native API,2020
menuPass,Archive via Utility,2017
Transparent Tribe,Domains,2021
OilRig,Tool,2024
UNC3886,ESXi Administration Command,2025
Silent Librarian,Email Accounts,2021
HAFNIUM,Web Shell,2021
Rocke,Private Keys,2020
Blue Mockingbird,Proxy,2020
Sidewinder,Malicious Link,2021
Kimsuky,Server,2022
Play,External Remote Services,2024
Gamaredon Group,Query Registry,2025
Volt Typhoon,Web Shell,2023
Dragonfly,Valid Accounts,2021
menuPass,System Network Configuration Discovery,2017
Star Blizzard,Valid Accounts,2024
Magic Hound,Windows Management Instrumentation,2022
APT18,System Information Discovery,2019
Fox Kitten,SSH,2020
BITTER,Dynamic Resolution,2022
Medusa Group,Web Protocols,2025
Sandworm Team,Exfiltration Over C2 Channel,2020
Group5,Screen Capture,2017
Inception,Malicious File,2020
Threat Group-1314,Windows Command Shell,2017
FIN7,Disable or Modify System Firewall,2025
Strider,Password Filter DLL,2017
APT28,Valid Accounts,2017
Kimsuky,Command Obfuscation,2025
Sowbug,OS Credential Dumping,2018
Metador,Malware,2023
APT28,Hidden Files and Directories,2018
LAPSUS$,Proxy,2022
Winter Vivern,Exfiltration Over C2 Channel,2024
HAFNIUM,Gather Victim Network Information,2021
OilRig,Upload Malware,2024
MoustachedBouncer,Proxy,2023
Sandworm Team,Endpoint Denial of Service,2020
Volt Typhoon,System Location Discovery,2024
Wizard Spider,Registry Run Keys / Startup Folder,2020
VOID MANTICORE,Remote Desktop Protocol,2026
TA505,Command Obfuscation,2023
GALLIUM,Ingress Tool Transfer,2019
Dragonfly,Data from Local System,2021
Ember Bear,Exfiltration to Cloud Storage,2024
Magic Hound,Determine Physical Locations,2023
Winter Vivern,Screen Capture,2024
MuddyWater,Credentials In Files,2019
OilRig,Windows Management Instrumentation,2018
Indrik Spider,Group Policy Modification,2021
Kimsuky,Service Stop,2026
Lotus Blossom,Remote System Discovery,2025
Rocke,Timestomp,2020
APT41,Additional Local or Domain Groups,2023
APT41,Group Policy Modification,2024
FIN7,Valid Accounts,2021
Kimsuky,Masquerade Task or Service,2020
APT29,Steal or Forge Authentication Certificates,2022
Fox Kitten,Browser Information Discovery,2020
Ke3chang,Sharepoint,2018
Magic Hound,Local Account,2022
Wizard Spider,Remote Desktop Protocol,2020
Storm-0501,Financial Theft,2025
APT29,Web Services,2020
APT12,Spearphishing Attachment,2019
Cobalt Group,Spearphishing Attachment,2018
APT42,Visual Basic,2025
FIN8,Tool,2023
BRONZE BUTLER,File and Directory Discovery,2018
Gamaredon Group,Compile After Delivery,2020
Lazarus Group,KernelCallbackTable,2022
FIN13,SSH,2023
Moonstone Sleet,Scheduled Task,2024
TA2541,Registry Run Keys / Startup Folder,2023
Leviathan,Credentials,2021
Velvet Ant,RC Scripts,2025
FIN7,System Time Discovery,2025
TA577,Email Accounts,2024
Ke3chang,System Language Discovery,2022
Moonstone Sleet,Embedded Payloads,2024
APT41,Exploit Public-Facing Application,2020
Higaisa,Deobfuscate/Decode Files or Information,2021
Lotus Blossom,Windows Management Instrumentation,2025
Kimsuky,Search Victim-Owned Websites,2022
Stealth Falcon,Process Discovery,2017
FIN6,Masquerade Task or Service,2019
Patchwork,Spearphishing Link,2018
Lazarus Group,Windows Host Firewall,2020
BITTER,Tool,2022
Threat Group-3390,Exploitation for Privilege Escalation,2017
Ember Bear,Multi-hop Proxy,2024
Winter Vivern,Windows Command Shell,2024
Gamaredon Group,Multi-hop Proxy,2025
APT29,Timestomp,2023
FIN13,Network Share Discovery,2023
TA505,Encrypted/Encoded File,2019
FIN13,External Remote Services,2023
WIRTE,Spearphishing Link,2026
Sea Turtle,Clear Linux or Mac System Logs,2024
RedEcho,Non-Standard Port,2024
Cinnamon Tempest,Protocol Tunneling,2023
APT37,Web Protocols,2018
Deep Panda,Remote System Discovery,2018
Gamaredon Group,Web Protocols,2017
BlackByte,Remote Desktop Protocol,2024
Mustang Panda,Archive via Custom Method,2021
Volt Typhoon,Masquerade File Type,2023
Poseidon Group,Process Discovery,2017
Lazarus Group,Bootkit,2017
Magic Hound,Spearphishing via Service,2020
MirrorFace,Template Injection,2026
Windshift,Invalid Code Signature,2020
Cobalt Group,Odbcconf,2019
Dragonfly,Tool,2021
Volt Typhoon,Exploits,2024
Wizard Spider,File Deletion,2020
TeamTNT,Scanning IP Blocks,2021
Leafminer,JavaScript,2018
APT33,Registry Run Keys / Startup Folder,2019
BRONZE BUTLER,Dead Drop Resolver,2018
Lazarus Group,File Deletion,2017
BITTER,Non-Application Layer Protocol,2022
Moonstone Sleet,Registry Run Keys / Startup Folder,2024
AppleJeus,Phishing,2025
Turla,Modify Registry,2023
WIRTE,Deobfuscate/Decode Files or Information,2019
Leviathan,Local Data Staging,2018
Volt Typhoon,System Time Discovery,2024
Moafee,Binary Padding,2017
Wizard Spider,Masquerade Task or Service,2020
APT39,Exploit Public-Facing Application,2020
Gamaredon Group,Dynamic Resolution,2022
TA505,Malicious Link,2020
Scattered Spider,Exploitation for Privilege Escalation,2023
LAPSUS$,Impersonation,2023
Dark Caracal,Software Packing,2018
Chimera,DLL,2021
BRONZE BUTLER,Visual Basic,2020
INC Ransom,System Network Connections Discovery,2024
Sandworm Team,Domain Accounts,2020
Gamaredon Group,Office Application Startup,2020
Agrius,Security Account Manager,2024
APT28,Virtual Private Server,2024
GALLIUM,Local Data Staging,2019
Ke3chang,File and Directory Discovery,2017
Ember Bear,Protocol Tunneling,2024
Star Blizzard,Impersonation,2026
Kimsuky,Search Open Technical Databases,2025
Star Blizzard,Email Accounts,2024
Molerats,Process Discovery,2017
Darkhotel,Replication Through Removable Media,2017
Ke3chang,Process Discovery,2017
Chimera,Command Obfuscation,2020
APT-C-36,Malware,2026
RedCurl,Malware,2024
GCMAN,VNC,2020
DarkVishnya,Non-Standard Port,2020
Contagious Interview,Unix Shell Configuration Modification,2025
Confucius,PowerShell,2021
TA2541,Security Software Discovery,2023
menuPass,Domains,2020
RedCurl,Data from Network Shared Drive,2024
VOID MANTICORE,Email Accounts,2026
Evilnum,DLL,2021
Rocke,Boot or Logon Initialization Scripts,2020
Mustang Panda,PowerShell,2021
Volt Typhoon,Windows Management Instrumentation,2023
Storm-1811,Deobfuscate/Decode Files or Information,2025
TA505,Msiexec,2019
TeamTNT,Systemd Service,2021
APT32,Non-Standard Port,2020
CopyKittens,Archive via Utility,2018
FIN8,Windows Management Instrumentation,2018
Dragonfly,Disable or Modify System Firewall,2021
FIN6,Registry Run Keys / Startup Folder,2017
FIN7,System Owner/User Discovery,2023
Mustang Panda,Process Discovery,2021
Mustang Panda,Search Open Websites/Domains,2025
Moonstone Sleet,Web Protocols,2024
BlackByte,Remote Access Tools,2024
FIN4,Email Hiding Rules,2019
Kimsuky,File Deletion,2019
APT-C-36,Botnet,2026
BITTER,Domains,2022
DarkVishnya,Remote Access Tools,2020
APT1,Email Accounts,2020
Metador,Web Protocols,2023
Wizard Spider,Windows Management Instrumentation,2020
MuddyWater,CMSTP,2018
APT41,Keylogging,2019
Salt Typhoon,Tool,2025
APT5,Remote Desktop Protocol,2024
Ke3chang,Command and Scripting Interpreter,2017
Lotus Blossom,System Network Connections Discovery,2025
APT39,Brute Force,2020
Agrius,Data from Local System,2024
Higaisa,Native API,2021
RTM,Malicious File,2020
Turla,Brute Force,2017
FIN8,LSASS Memory,2018
Play,Remote System Discovery,2024
WIRTE,Tool,2021
APT28,Network Denial of Service,2020
Fox Kitten,Exploit Public-Facing Application,2020
DarkHydrus,Malicious File,2018
APT38,Data from Local System,2021
Dragonfly,Registry Run Keys / Startup Folder,2021
RedCurl,File and Directory Discovery,2024
VOID MANTICORE,Credential Stuffing,2026
FIN7,Registry Run Keys / Startup Folder,2017
FIN7,JavaScript,2020
APT41,Data from Local System,2021
VOID MANTICORE,Trusted Relationship,2026
Windigo,File and Directory Discovery,2021
APT39,LSASS Memory,2019
Storm-1811,Spearphishing Voice,2025
FIN7,Reflective Code Loading,2025
Cinnamon Tempest,Tool,2023
Winter Vivern,Local Email Collection,2024
FIN10,Lateral Tool Transfer,2017
Kimsuky,Keylogging,2019
UNC3886,Exploitation for Client Execution,2025
Fox Kitten,Archive via Utility,2020
APT38,Mshta,2025
Threat Group-3390,Exploitation of Remote Services,2019
CURIUM,Email Accounts,2024
Indrik Spider,Kerberoasting,2024
Ember Bear,Acquire Infrastructure,2024
Rancor,Msiexec,2019
Kimsuky,Bidirectional Communication,2022
Rancor,Visual Basic,2020
Ember Bear,Web Shell,2024
RedCurl,Malicious Link,2024
Volt Typhoon,Gather Victim Host Information,2024
MuddyWater,Local Data Staging,2022
Earth Lusca,Obfuscated Files or Information,2022
GALLIUM,Exploit Public-Facing Application,2019
APT29,Boot or Logon Initialization Scripts,2023
FIN13,Archive via Utility,2023
APT41,NTDS,2024
Ferocious Kitten,Domains,2021
APT12,Bidirectional Communication,2019
Chimera,Local Data Staging,2021
Ferocious Kitten,Malicious File,2021
Sidewinder,System Owner/User Discovery,2021
Naikon,Windows Management Instrumentation,2021
APT39,Data from Local System,2020
APT32,Mail Protocols,2020
Medusa Group,Valid Accounts,2025
LAPSUS$,Business Relationships,2022
Cinnamon Tempest,SMB/Windows Admin Shares,2023
Contagious Interview,System Information Discovery,2025
Blue Mockingbird,Rundll32,2020
Mustang Panda,Shared Modules,2025
APT28,Screen Capture,2017
LuminousMoth,Exfiltration Over C2 Channel,2023
APT29,Malware,2021
MirrorFace,Masquerade File Type,2026
HEXANE,Local Groups,2022
Sidewinder,Command Obfuscation,2023
FIN13,Internet Connection Discovery,2023
APT32,Upload Malware,2021
Lazarus Group,Name Resolution Poisoning and SMB Relay,2022
PLATINUM,Spearphishing Attachment,2018
Kimsuky,Pass the Hash,2020
Chimera,System Service Discovery,2021
admin@338,System Network Connections Discovery,2017
APT42,Steal Web Session Cookie,2025
Gamaredon Group,System Checks,2025
Threat Group-3390,Drive-by Target,2021
Turla,Local Account,2020
Salt Typhoon,Network Sniffing,2025
APT32,DLL,2018
TA459,Malicious File,2018
Scattered Spider,Steal Web Session Cookie,2024
VOID MANTICORE,Malware,2026
Inception,Symmetric Cryptography,2020
Silence,Native API,2019
Wizard Spider,Domain Account,2020
APT38,Browser Information Discovery,2021
APT-C-36,Virtual Private Server,2026
Contagious Interview,Launch Agent,2025
Cinnamon Tempest,Ingress Tool Transfer,2023
Fox Kitten,Proxy,2020
Threat Group-3390,Compromise Software Supply Chain,2021
BlackByte,Data Encrypted for Impact,2024
Salt Typhoon,Network Topology,2025
HEXANE,Social Media Accounts,2022
Volt Typhoon,Identify Roles,2024
APT3,Malicious Link,2021
Mustard Tempest,Server,2024
Moonstone Sleet,Gather Victim Org Information,2024
Akira,Steal or Forge Kerberos Tickets,2024
Lazarus Group,System Binary Proxy Execution,2022
LAPSUS$,Code Repositories,2022
APT-C-36,Obfuscated Files or Information,2020
FIN6,File Deletion,2020
APT32,PubPrn,2018
HEXANE,System Information Discovery,2022
APT30,Spearphishing Attachment,2020
Salt Typhoon,Password Cracking,2025
APT29,Dynamic Resolution,2023
Leviathan,Internal Spearphishing,2021
RTM,Dead Drop Resolver,2017
Daggerfly,Local Account,2024
Lazarus Group,Social Media Accounts,2022
Blue Mockingbird,Access Token Manipulation,2020
APT28,Phishing for Information,2021
VOID MANTICORE,Social Media Accounts,2026
Kimsuky,Software Packing,2021
Tonto Team,OS Credential Dumping,2021
Sea Turtle,Ignore Process Interrupts,2024
DarkHydrus,Hidden Window,2019
APT32,Office Application Startup,2019
TA2541,Scheduled Task,2023
MuddyWater,Screen Capture,2019
Dragonfly,Ingress Tool Transfer,2021
menuPass,Security Account Manager,2017
TeamTNT,Match Legitimate Resource Name or Location,2022
TA2541,System Information Discovery,2023
Dragonfly,Spearphishing Attachment,2021
Mofang,Spearphishing Attachment,2020
Sandworm Team,External Remote Services,2020
Mustang Panda,Non-Application Layer Protocol,2025
Earth Lusca,Domain Trust Discovery,2022
Sandworm Team,Scheduled Task,2024
Lazarus Group,SMB/Windows Admin Shares,2017
Silence,Software Deployment Tools,2020
Patchwork,Standard Encoding,2017
Lazarus Group,Malware,2021
Ke3chang,LSASS Memory,2017
Mofang,Compression,2025
Sea Turtle,Exploit Public-Facing Application,2024
GALLIUM,Obfuscated Files or Information,2019
RedCurl,Indirect Command Execution,2024
UNC3886,SSH,2025
APT-C-36,Web Services,2026
Threat Group-3390,Registry Run Keys / Startup Folder,2018
Turla,Bidirectional Communication,2018
ToddyCat,System Network Connections Discovery,2024
TeamTNT,Disable or Modify System Firewall,2021
RedCurl,Credentials In Files,2024
POLONIUM,Web Services,2022
Leviathan,Binary Padding,2018
Scattered Spider,Cloud Service Dashboard,2024
APT41,System Network Connections Discovery,2019
Magic Hound,Disable or Modify Windows Event Log,2023
MirrorFace,Exploit Public-Facing Application,2026
LuminousMoth,Exfiltration to Cloud Storage,2023
Sidewinder,Spearphishing Attachment,2021
Windshift,Spearphishing via Service,2020
Ember Bear,Brute Force,2024
Contagious Interview,Visual Basic,2025
Wizard Spider,Ingress Tool Transfer,2023
Darkhotel,Match Legitimate Resource Name or Location,2021
BlackByte,Valid Accounts,2024
Higaisa,System Network Configuration Discovery,2021
Leviathan,Compression,2025
APT19,Deobfuscate/Decode Files or Information,2018
Earth Lusca,Spearphishing Link,2022
Rocke,Software Packing,2020
Higaisa,Masquerade Task or Service,2021
MuddyWater,Python,2021
GALLIUM,Pass the Hash,2019
APT3,System Information Discovery,2018
GALLIUM,Data from Local System,2019
APT42,Upload Malware,2025
menuPass,Data from Local System,2019
Kimsuky,Process Hollowing,2022
MirrorFace,Visual Basic,2026
Wizard Spider,System Owner/User Discovery,2020
Mustang Panda,Malicious Link,2021
MuddyWater,Command Obfuscation,2018
APT32,Drive-by Compromise,2018
Poseidon Group,Local Account,2020
FIN13,Visual Basic,2023
Magic Hound,File and Directory Discovery,2018
Velvet Ant,DLL,2025
Gamaredon Group,Exfiltration Over C2 Channel,2017
APT1,Match Legitimate Resource Name or Location,2017
FIN6,Credentials from Web Browsers,2020
Kimsuky,Exploit Public-Facing Application,2022
Fox Kitten,Remote Desktop Protocol,2020
Machete,Spearphishing Attachment,2019
LazyScripter,Malicious File,2022
BlackByte,PowerShell,2024
MirrorFace,Tool,2026
BlackTech,Right-to-Left Override,2020
Kimsuky,Double File Extension,2025
Mustang Panda,Symmetric Cryptography,2021
Machete,Malicious File,2019
INC Ransom,Lateral Tool Transfer,2024
BlackByte,System Information Discovery,2024
LuminousMoth,Registry Run Keys / Startup Folder,2023
Star Blizzard,Upload Malware,2024
Storm-0501,Cloud Secrets Management Stores,2025
Turla,Malware,2020
Aquatic Panda,Vulnerability Scanning,2022
Moonstone Sleet,Spearphishing Attachment,2024
Velvet Ant,Windows Management Instrumentation,2025
APT3,Local Account,2018
CopyKittens,Rundll32,2018
Sandworm Team,Server,2020
Mustang Panda,Domains,2021
Dragonfly,Server,2021
APT39,Network Service Discovery,2019
APT3,SMB/Windows Admin Shares,2018
BITTER,Spearphishing Attachment,2022
POLONIUM,Bidirectional Communication,2022
CURIUM,Web Shell,2024
HAFNIUM,PowerShell,2021
FIN7,Upload Malware,2023
APT38,System Network Connections Discovery,2019
Scattered Spider,PowerShell,2025
Inception,Spearphishing Attachment,2020
Lazarus Group,Dynamic-link Library Injection,2018
Wizard Spider,SMB/Windows Admin Shares,2020
Rancor,Scheduled Task,2018
OilRig,System Network Configuration Discovery,2018
TeamTNT,File and Directory Discovery,2022
APT28,Data Transfer Size Limits,2021
Contagious Interview,Execution Guardrails,2025
GOLD SOUTHFIELD,Screen Capture,2020
Lotus Blossom,Steal Web Session Cookie,2025
UNC3886,Rundll32,2025
Gamaredon Group,Native API,2020
APT3,Exfiltration Over C2 Channel,2018
APT19,Spearphishing Attachment,2018
TeamTNT,Domains,2021
Lazarus Group,Bidirectional Communication,2022
APT28,Brute Force,2021
Velvet Ant,Application Layer Protocol,2025
MuddyWater,Spearphishing Attachment,2018
OilRig,Windows Credential Manager,2020
RedCurl,GUI Input Capture,2024
APT3,Credentials In Files,2018
Sea Turtle,Virtual Private Server,2024
FIN13,Domain Account,2023
Fox Kitten,NTDS,2020
RTM,Drive-by Compromise,2020
Rocke,Cron,2020
Turla,Process Injection,2018
UNC3886,Fallback Channels,2025
APT41,Web Protocols,2020
Fox Kitten,Ingress Tool Transfer,2020
APT32,System Network Configuration Discovery,2019
APT39,Command and Scripting Interpreter,2019
APT3,Remote System Discovery,2018
TeamTNT,Process Discovery,2021
OilRig,Match Legitimate Resource Name or Location,2025
TeamTNT,Windows Service,2021
Ke3chang,Exploit Public-Facing Application,2022
Windigo,Software Discovery,2021
APT1,Pass the Hash,2017
Turla,Tool,2021
Silence,Scheduled Task,2019
PLATINUM,Exploitation for Privilege Escalation,2018
MuddyWater,Credentials from Web Browsers,2019
APT28,Timestomp,2017
Wizard Spider,Scheduled Task,2020
RedCurl,Web Service,2024
Scattered Spider,Domain Account,2024
GOLD SOUTHFIELD,Phishing,2020
Dragonfly,Masquerade Account Name,2021
Malteiro,Malicious File,2024
Molerats,Compression,2020
RedCurl,Automated Exfiltration,2024
FIN8,Remote Desktop Protocol,2018
Tonto Team,Spearphishing Attachment,2021
Water Galura,Social Media Accounts,2025
WIRTE,System Checks,2026
LAPSUS$,Malware,2022
Contagious Interview,Web Services,2025
APT41,Domain Generation Algorithms,2019
APT3,Domain Accounts,2018
Lazarus Group,System Information Discovery,2017
Chimera,NTDS,2020
Tropic Trooper,File and Directory Discovery,2020
APT33,Exfiltration Over Unencrypted Non-C2 Protocol,2019
TeamTNT,Local Data Staging,2022
Kimsuky,Automated Exfiltration,2026
Sandworm Team,Malicious Link,2020
Tropic Trooper,Local Storage Discovery,2025
Kimsuky,Establish Accounts,2025
Chimera,Local Email Collection,2021
Agrius,Windows Command Shell,2024
APT39,Malicious Link,2020
ZIRCONIUM,Phishing for Information,2021
Magic Hound,Spearphishing Link,2018
APT38,Spearphishing Attachment,2021
Medusa Group,System Network Configuration Discovery,2025
APT37,Dynamic Data Exchange,2018
Chimera,Remote System Discovery,2021
Sandworm Team,PowerShell,2020
OilRig,External Remote Services,2018
BRONZE BUTLER,Screen Capture,2018
admin@338,Malicious File,2019
Patchwork,PowerShell,2017
Sidewinder,Web Protocols,2021
Volt Typhoon,NTDS,2023
Deep Panda,Hidden Window,2019
Transparent Tribe,Drive-by Target,2021
BackdoorDiplomacy,Obfuscated Files or Information,2021
APT39,System Owner/User Discovery,2019
Mustang Panda,System Network Connections Discovery,2021
Magic Hound,Process Discovery,2018
VOID MANTICORE,System Information Discovery,2026
Indrik Spider,LSASS Memory,2021
OilRig,Valid Accounts,2018
APT29,Spearphishing Link,2018
Storm-1811,Domain Trust Discovery,2025
APT39,Keylogging,2020
RedCurl,Web Protocols,2024
Windshift,Ingress Tool Transfer,2021
CopyKittens,PowerShell,2018
Cleaver,Malware,2020
Turla,Password Policy Discovery,2020
Turla,Match Legitimate Resource Name or Location,2024
TeamTNT,Container CLI/API,2025
FIN5,Clear Windows Event Logs,2018
Kimsuky,Email Accounts,2022
BRONZE BUTLER,Taint Shared Content,2020
Stealth Falcon,Windows Credential Manager,2020
VOID MANTICORE,Data Encrypted for Impact,2026
FIN13,DLL,2023
Patchwork,Credentials from Web Browsers,2017
Silence,Modify Registry,2020
Wizard Spider,Windows Credential Manager,2023
Cobalt Group,Web Protocols,2018
APT-C-36,Tool,2021
Inception,Tool,2021
HEXANE,Process Discovery,2022
Higaisa,Malicious File,2021
Suckfly,Code Signing,2017
Silence,Valid Accounts,2020
MirrorFace,LSASS Memory,2026
ZIRCONIUM,Python,2021
APT41,Modify Registry,2019
ZIRCONIUM,Symmetric Cryptography,2021
admin@338,System Information Discovery,2017
OilRig,System Network Connections Discovery,2018
APT28,Drive-by Compromise,2022
TeamTNT,Security Software Discovery,2021
Volt Typhoon,Gather Victim Identity Information,2024
Star Blizzard,Acquire Infrastructure,2024
APT42,Scheduled Task,2025
APT39,Python,2020
Sea Turtle,Local Email Collection,2024
Lazarus Group,Match Legitimate Resource Name or Location,2021
FIN5,Automated Collection,2018
Windshift,Registry Run Keys / Startup Folder,2021
Mustang Panda,Windows Management Instrumentation,2021
APT19,System Network Configuration Discovery,2018
Turla,Ingress Tool Transfer,2018
Storm-1811,Windows Permissions,2025
WIRTE,Local Email Collection,2026
LAPSUS$,Email Accounts,2022
Kimsuky,Timestomp,2020
Aquatic Panda,DLL,2022
Mustang Panda,NTDS,2021
Volt Typhoon,PowerShell,2023
Windshift,Web Protocols,2021
menuPass,Code Signing,2021
FIN13,NTDS,2023
Leafminer,Drive-by Compromise,2018
Moonstone Sleet,System Network Configuration Discovery,2024
Moonstone Sleet,Phishing for Information,2024
Kimsuky,Code Signing,2020
Higaisa,Hidden Window,2021
APT28,LSASS Memory,2017
Star Blizzard,Remote Email Collection,2024
Dark Caracal,Drive-by Compromise,2018
Darkhotel,Keylogging,2017
FIN13,Network Service Discovery,2023
APT41,Wordlist Scanning,2024
Scattered Spider,Unix Shell,2025
Storm-0501,Cloud Account,2025
BRONZE BUTLER,Disable or Modify Tools,2020
Indrik Spider,System Service Discovery,2021
Scarlet Mimic,Right-to-Left Override,2019
HAFNIUM,Exploitation for Privilege Escalation,2025
IndigoZebra,Web Services,2021
APT3,Registry Run Keys / Startup Folder,2018
Mustang Panda,Software Deployment Tools,2025
Naikon,Malicious File,2020
Saint Bear,Malicious File,2024
Lazarus Group,Account Manipulation,2017
BackdoorDiplomacy,Peripheral Device Discovery,2021
MuddyWater,Security Software Discovery,2019
BRONZE BUTLER,LSASS Memory,2018
LuminousMoth,Spearphishing Link,2023
TA505,Mark-of-the-Web Bypass,2021
Contagious Interview,Acquire Infrastructure,2025
Volt Typhoon,Network Devices,2023
Kimsuky,Local Data Staging,2020
APT32,OS Credential Dumping,2020
menuPass,Exploit Public-Facing Application,2021
OilRig,LSASS Memory,2018
Medusa Group,System Information Discovery,2025
WIRTE,Compression,2026
HEXANE,Exfiltration to Cloud Storage,2022
APT42,Screen Capture,2025
OilRig,Keylogging,2018
FIN8,Spearphishing Attachment,2018
TA505,Credentials from Web Browsers,2019
Lazarus Group,Internal Defacement,2020
Earth Lusca,Visual Basic,2022
Threat Group-3390,Keylogging,2017
APT29,Exploitation for Privilege Escalation,2022
Chimera,Pass the Hash,2021
Kimsuky,Domains,2022
OilRig,Encrypted/Encoded File,2018
UNC3886,Exploitation for Privilege Escalation,2025
LuminousMoth,Tool,2023
Play,Command Obfuscation,2024
Aquatic Panda,System Service Discovery,2022
MuddyWater,External Proxy,2019
APT3,Keylogging,2017
BlackTech,Spearphishing Link,2020
Daggerfly,Ingress Tool Transfer,2024
APT29,Disable or Modify Cloud Log,2024
VOID MANTICORE,Brute Force,2026
Scattered Spider,Malware,2025
Wizard Spider,Local Account,2023
IndigoZebra,Domains,2021
Lazarus Group,Data from Local System,2017
APT37,Malicious File,2018
APT29,Software Packing,2017
Mustard Tempest,System Information Discovery,2023
MuddyWater,Component Object Model,2019
BlackByte,Disable or Modify Tools,2024
Sea Turtle,Install Digital Certificate,2024
Sandworm Team,Spearphishing Attachment,2020
Turla,Web Protocols,2018
APT33,Cached Domain Credentials,2020
Agrius,Network Service Discovery,2024
INC Ransom,Application Layer Protocol,2024
UNC3886,Exploit Public-Facing Application,2025
Storm-1811,Malicious File,2025
Transparent Tribe,Spearphishing Attachment,2021
Fox Kitten,Domain Account,2020
HAFNIUM,Web Protocols,2021
TeamTNT,Registry Run Keys / Startup Folder,2021
UNC3886,Valid Accounts,2025
Threat Group-3390,Ingress Tool Transfer,2017
APT33,Windows Management Instrumentation Event Subscription,2020
Salt Typhoon,Disable or Modify System Firewall,2025
HAFNIUM,Remote Email Collection,2021
Silence,JavaScript,2020
APT28,Gather Victim Org Information,2025
OilRig,Local Groups,2018
Kimsuky,Disable or Modify Tools,2019
APT18,DNS,2020
Earth Lusca,System Network Connections Discovery,2022
TA505,Domain Accounts,2020
admin@338,Match Legitimate Resource Name or Location,2017
Indrik Spider,Server,2021
RedCurl,Local Email Collection,2024
OilRig,Malicious File,2018
Play,Security Software Discovery,2024
Turla,Remote System Discovery,2017
LazyScripter,Masquerading,2021
Magic Hound,Proxy,2023
TA505,Rundll32,2019
Indrik Spider,Exfiltration to Cloud Storage,2024
Darkhotel,Exploitation for Client Execution,2021
FIN6,Exfiltration Over Unencrypted Non-C2 Protocol,2020
MuddyWater,Malicious Link,2021
Storm-0501,Data from Cloud Storage,2025
Scattered Spider,Email Collection,2024
Earth Lusca,Exfiltration to Cloud Storage,2022
Ember Bear,Supply Chain Compromise,2024
APT42,Tool,2025
WIRTE,Local Data Staging,2026
Kimsuky,Reflective Code Loading,2024
Storm-0501,Rundll32,2025
HEXANE,Application Window Discovery,2022
LAPSUS$,Trusted Relationship,2022
Magic Hound,Drive-by Compromise,2022
MoustachedBouncer,PowerShell,2023
MuddyWater,Cached Domain Credentials,2020
INC Ransom,Remote Desktop Protocol,2024
Andariel,Process Discovery,2021
Inception,Encrypted/Encoded File,2020
APT29,Additional Email Delegate Permissions,2023
Darkhotel,System Network Configuration Discovery,2019
Fox Kitten,Network Service Discovery,2020
Star Blizzard,Email Forwarding Rule,2024
OilRig,System Information Discovery,2018
Winnti Group,Ingress Tool Transfer,2022
The White Company,Security Software Discovery,2019
Fox Kitten,File and Directory Discovery,2020
Earth Lusca,Drive-by Compromise,2022
Threat Group-3390,Query Registry,2018
Volt Typhoon,System Owner/User Discovery,2023
Blue Mockingbird,Regsvr32,2020
APT-C-36,Email Accounts,2026
Volt Typhoon,Gather Victim Network Information,2024
Cobalt Group,Malicious Link,2020
Metador,Tool,2023
MoustachedBouncer,Remote Data Staging,2023
APT3,Remote Desktop Protocol,2018
Volt Typhoon,Multi-hop Proxy,2024
UNC3886,LSASS Memory,2025
APT28,Cloud Accounts,2021
Sea Turtle,Trusted Relationship,2024
MuddyWater,Malicious Copy and Paste,2026
Blue Mockingbird,Tool,2021
