APT_Group,Technique,Year
BlackTech,Native API,2022
APT32,Gather Victim Identity Information,2021
Kimsuky,External Remote Services,2020
MuddyWater,Symmetric Cryptography,2022
FIN7,Service Execution,2025
OilRig,Network Service Discovery,2018
INC Ransom,Network Share Discovery,2024
Aoqin Dragon,Exploitation for Client Execution,2022
APT-C-36,Audio-Visual Content,2026
Sandworm Team,Trusted Relationship,2020
MirrorFace,System Information Discovery,2026
Molerats,Malicious File,2020
Chimera,System Owner/User Discovery,2021
TA505,Domains,2022
MuddyWater,Match Legitimate Resource Name or Location,2018
APT19,Command and Scripting Interpreter,2018
APT37,Visual Basic,2020
APT-C-36,JavaScript,2026
UNC3886,Exploitation for Credential Access,2025
HEXANE,System Network Connections Discovery,2022
Wizard Spider,Email Accounts,2023
Turla,System Network Connections Discovery,2017
Sowbug,Match Legitimate Resource Name or Location,2018
APT41,Exploitation for Client Execution,2019
Storm-1811,Cloud Accounts,2025
Mustang Panda,IDE Tunneling,2025
Tropic Trooper,Winlogon Helper DLL,2019
WIRTE,Regsvr32,2019
Earth Lusca,Print Processors,2022
Gamaredon Group,Automated Exfiltration,2020
Medusa Group,File and Directory Discovery,2025
Volt Typhoon,Process Discovery,2023
UNC3886,Local Data Staging,2025
Volt Typhoon,System Binary Proxy Execution,2024
Gamaredon Group,Junk Code Insertion,2020
Volt Typhoon,Data from Local System,2023
APT39,Credentials from Password Stores,2020
Moses Staff,Encrypted/Encoded File,2022
menuPass,External Proxy,2017
Chimera,Archive via Utility,2020
LazyScripter,Rundll32,2021
Storm-1811,SMB/Windows Admin Shares,2025
Saint Bear,Code Signing,2024
BRONZE BUTLER,Windows Command Shell,2018
Gamaredon Group,Web Service,2020
Threat Group-3390,Network Share Connection Removal,2017
FIN8,Valid Accounts,2018
GOLD SOUTHFIELD,Trusted Relationship,2020
Fox Kitten,Social Media Accounts,2021
Mustang Panda,Exfiltration over USB,2021
Fox Kitten,LSASS Memory,2020
Salt Typhoon,Exploit Public-Facing Application,2025
APT41,Multi-Stage Channels,2020
Silence,Command Obfuscation,2019
Group5,Encrypted/Encoded File,2017
Rocke,Network Service Discovery,2020
APT38,Disable or Modify Tools,2025
APT32,Spearphishing Link,2020
Threat Group-3390,Security Account Manager,2020
Lazarus Group,Rundll32,2022
admin@338,File and Directory Discovery,2017
VOID MANTICORE,Masquerade Task or Service,2026
Wizard Spider,Pass the Hash,2023
OilRig,Data from Removable Media,2024
Earth Lusca,Mshta,2022
APT29,Windows Management Instrumentation Event Subscription,2017
Darkhotel,Spearphishing Attachment,2019
RedCurl,Python,2024
Rocke,Systemd Service,2020
APT3,Archive via Utility,2018
Cobalt Group,Dynamic Data Exchange,2018
Rocke,Non-Standard Port,2020
APT39,Network Share Discovery,2020
Stealth Falcon,Credentials from Password Stores,2017
Agrius,LSASS Memory,2024
CopyKittens,Tool,2021
Indrik Spider,Service Stop,2021
APT41,Compute Hijacking,2019
Akira,Binary Padding,2024
menuPass,Clear Command History,2021
Turla,System Network Configuration Discovery,2017
Kimsuky,Python,2020
APT41,Valid Accounts,2019
APT32,Network Share Discovery,2020
Sandworm Team,Spearphishing Link,2020
ZIRCONIUM,Bidirectional Communication,2021
VOID MANTICORE,Domain Account,2026
Confucius,Spearphishing Link,2021
Velvet Ant,Unix Shell,2025
Naikon,Domain Accounts,2021
APT32,Command and Scripting Interpreter,2020
BlackTech,Digital Certificates,2022
Chimera,Local Groups,2021
Medusa Group,Prevent Command History Logging,2025
Sea Turtle,Compile After Delivery,2024
BITTER,Dynamic Data Exchange,2022
TA2541,Compression,2025
FIN8,Web Service,2021
Mustang Panda,Email Accounts,2025
Sowbug,System Information Discovery,2018
Patchwork,Dead Drop Resolver,2017
APT41,Archive via Utility,2019
Earth Lusca,Server,2022
HEXANE,Internal Spearphishing,2022
AppleJeus,Financial Theft,2025
Wizard Spider,Service Stop,2020
Play,System Network Configuration Discovery,2024
VOID MANTICORE,Python,2026
Carbanak,Bidirectional Communication,2017
Wizard Spider,Remote System Discovery,2020
Windshift,Drive-by Compromise,2020
Indrik Spider,Create Account,2021
Cobalt Group,Logon Script (Windows),2019
Volt Typhoon,Local Storage Discovery,2023
APT41,Scheduled Task,2019
menuPass,File Deletion,2018
APT33,Group Policy Preferences,2020
Magic Hound,Malicious File,2021
FIN7,Exploitation of Remote Services,2021
APT32,Timestomp,2017
UNC3886,Malware,2025
BlackByte,OS Credential Dumping,2024
Gorgon Group,Windows Command Shell,2018
Scattered Spider,Inhibit System Recovery,2025
FIN13,Gather Victim Identity Information,2023
Velvet Ant,Disable or Modify Tools,2025
Mustang Panda,Stage Capabilities,2022
ToddyCat,Disable or Modify System Firewall,2024
Sandworm Team,Disk Structure Wipe,2020
RedCurl,Domain Account,2024
FIN7,Data Encrypted for Impact,2021
OilRig,Ingress Tool Transfer,2018
Medusa Group,Acquire Access,2025
Volt Typhoon,Credentials from Web Browsers,2024
Tropic Trooper,Windows Command Shell,2020
Dragonfly,Screen Capture,2021
APT32,Match Legitimate Resource Name or Location,2017
Silent Librarian,Tool,2021
Suckfly,OS Credential Dumping,2017
Dragonfly,Domain Groups,2021
Axiom,Valid Accounts,2022
admin@338,Exploitation for Client Execution,2019
LuminousMoth,Code Signing,2023
Sandworm Team,LSASS Memory,2020
MirrorFace,Security Account Manager,2026
APT38,Process Injection,2025
Evilnum,Ingress Tool Transfer,2021
RedCurl,Asymmetric Cryptography,2024
menuPass,Deobfuscate/Decode Files or Information,2018
TA2541,Malicious Link,2023
Saint Bear,Spearphishing Attachment,2024
MuddyWater,Phishing,2026
APT29,Malicious File,2018
Gamaredon Group,Domains,2022
LuminousMoth,Hidden Files and Directories,2023
RedCurl,Malicious File,2024
GALLIUM,LSASS Memory,2019
Kimsuky,Web Shell,2020
Volt Typhoon,Server,2023
Malteiro,Security Software Discovery,2024
Silence,PowerShell,2020
APT41,Software Packing,2024
APT33,Ingress Tool Transfer,2019
Silent Librarian,Email Collection,2021
Dragonfly,Modify Registry,2021
Wizard Spider,System Information Discovery,2020
Leviathan,Shortcut Modification,2018
Mustang Panda,Domain Account,2025
Gamaredon Group,Registry Run Keys / Startup Folder,2020
Mustang Panda,Exfiltration to Cloud Storage,2025
LAPSUS$,Valid Accounts,2022
Winter Vivern,Vulnerability Scanning,2024
menuPass,InstallUtil,2020
Magic Hound,Vulnerability Scanning,2022
VOID MANTICORE,Domain Accounts,2026
BlackOasis,Obfuscated Files or Information,2018
Turla,Databases,2020
Aquatic Panda,Domain Accounts,2024
Silence,External Proxy,2020
CURIUM,Malicious File,2023
FIN8,Data Encrypted for Impact,2023
