technique,avg_velocity,max_velocity,peak_year,peak_groups,total_groups,years_tracked,spread_rate
Kerberoasting,0.0,0.0,2024,1,3,3,1.0
Link Target,0.0,0.0,2025,1,3,3,1.0
Linux and Mac Permissions,0.0,0.0,2021,1,3,3,1.0
Local Account,0.0,5.0,2020,7,29,9,3.22
Local Groups,0.0,1.0,2021,2,7,6,1.17
Log Enumeration,0.0,2.0,2024,3,5,3,1.67
Logon Script (Windows),0.0,0.0,2019,1,2,2,1.0
Make and Impersonate Token,0.0,0.0,2024,1,2,2,1.0
Mark-of-the-Web Bypass,0.0,0.0,2025,1,3,3,1.0
Masquerade File Type,0.0,0.0,2026,1,4,4,1.0
Masquerade Task or Service,0.0,6.0,2020,7,23,9,2.56
Messaging Applications,0.0,0.0,2024,1,3,3,1.0
Multi-Stage Channels,0.0,0.0,2022,1,4,4,1.0
Mutual Exclusion,0.0,0.0,2026,1,2,2,1.0
Name Resolution Poisoning and SMB Relay,0.0,0.0,2022,1,2,2,1.0
Network Devices,0.0,1.0,2024,2,4,3,1.33
Network Topology,0.0,0.0,2026,1,4,4,1.0
Office Application Startup,0.0,0.0,2020,1,2,2,1.0
One-Way Communication,0.0,0.0,2024,1,2,2,1.0
Pass the Ticket,0.0,0.0,2019,1,3,3,1.0
Password Cracking,0.0,0.0,2025,1,4,4,1.0
Password Filter DLL,0.0,0.0,2026,1,3,3,1.0
Password Guessing,0.0,0.0,2026,1,3,3,1.0
Password Policy Discovery,0.0,0.0,2021,1,3,3,1.0
Permission Groups Discovery,0.0,1.0,2024,2,6,5,1.2
Port Knocking,0.0,0.0,2025,1,2,2,1.0
Portable Executable Injection,0.0,0.0,2020,1,2,2,1.0
Protocol or Service Impersonation,0.0,0.0,2025,1,3,3,1.0
Proxy,0.0,3.0,2022,4,19,8,2.38
Python,0.0,4.0,2021,6,18,8,2.25
Query Public AI Services,0.0,0.0,2026,1,2,2,1.0
Remote Data Staging,0.0,1.0,2021,3,11,7,1.57
Rundll32,0.0,3.0,2020,5,26,9,2.89
SSH Authorized Keys,0.0,0.0,2025,1,3,3,1.0
Scanning IP Blocks,0.0,0.0,2024,1,2,2,1.0
Service Stop,0.0,0.0,2026,1,7,7,1.0
Social Media,0.0,0.0,2025,1,3,3,1.0
Software,0.0,0.0,2023,1,3,3,1.0
Software Packing,0.0,1.0,2019,4,23,9,2.56
Spearphishing Voice,0.0,0.0,2025,1,3,3,1.0
Steal Application Access Token,0.0,0.0,2024,1,2,2,1.0
System Binary Proxy Execution,0.0,0.0,2024,1,2,2,1.0
System Checks,0.0,1.0,2021,3,7,4,1.75
System Location Discovery,0.0,0.0,2024,1,2,2,1.0
System Time Discovery,0.0,2.0,2021,5,14,7,2.0
Systemd Service,0.0,0.0,2025,1,3,3,1.0
Taint Shared Content,0.0,0.333,2020,2,5,4,1.25
Token Impersonation/Theft,0.0,0.0,2021,1,2,2,1.0
Trust Modification,0.0,0.0,2025,1,2,2,1.0
Upload Malware,0.0,9.0,2022,11,27,6,4.5
Upload Tool,0.0,0.0,2025,1,2,2,1.0
User Activity Based Checks,0.0,0.0,2021,1,2,2,1.0
User Execution,0.0,0.0,2024,1,2,2,1.0
Video Capture,0.0,0.0,2026,1,4,4,1.0
Virtualization/Sandbox Evasion,0.0,0.0,2025,1,3,3,1.0
Vulnerabilities,0.0,0.0,2025,1,3,3,1.0
Vulnerability Scanning,0.0,4.0,2021,5,14,6,2.33
Web Portal Capture,0.0,0.0,2026,1,2,2,1.0
Windows Permissions,0.0,0.0,2025,1,2,2,1.0
Windows Remote Management,0.0,0.0,2025,1,5,5,1.0
Windows Service,0.0,4.0,2018,6,26,9,2.89
Winlogon Helper DLL,0.0,0.0,2020,1,3,3,1.0
Wordlist Scanning,0.0,0.0,2024,1,2,2,1.0
XSL Script Processing,0.0,0.0,2021,1,2,2,1.0
Bypass User Account Control,-0.033,1.0,2018,3,11,6,1.83
Brute Force,-0.062,2.0,2021,3,15,9,1.67
Replication Through Removable Media,-0.067,1.0,2022,2,8,6,1.33
Sharepoint,-0.067,0.0,2018,2,7,6,1.17
Password Spraying,-0.071,2.0,2021,3,11,8,1.38
Clear Windows Event Logs,-0.083,2.0,2024,3,14,7,2.0
Archive via Utility,-0.111,5.0,2024,8,39,10,3.9
Disable or Modify Tools,-0.111,7.0,2024,8,32,10,3.2
Web Protocols,-0.111,12.0,2018,14,57,10,5.7
Clear Command History,-0.125,0.5,2024,2,8,5,1.6
Network Service Discovery,-0.125,4.0,2024,6,31,9,3.44
Query Registry,-0.125,3.0,2024,4,19,9,2.11
Rootkit,-0.125,0.5,2019,2,6,5,1.2
Screen Capture,-0.125,3.0,2018,5,19,9,2.11
Symmetric Cryptography,-0.125,3.0,2021,4,14,9,1.56
Archive Collected Data,-0.167,1.0,2017,3,13,7,1.86
Botnet,-0.167,2.0,2025,3,7,4,1.75
Compiled HTML File,-0.167,0.0,2019,2,5,3,1.67
Mshta,-0.167,3.0,2022,6,17,7,2.43
Private Keys,-0.167,0.333,2024,2,6,5,1.2
Regsvr32,-0.167,1.0,2018,3,11,7,1.57
System Language Discovery,-0.167,0.5,2024,2,5,4,1.25
Trusted Relationship,-0.167,0.0,2024,2,12,7,1.71
Access Token Manipulation,-0.2,-0.2,2020,2,3,2,1.5
Domain Trust Discovery,-0.2,1.0,2025,3,10,6,1.67
External Proxy,-0.2,1.0,2018,3,11,6,1.83
Gather Victim Identity Information,-0.2,1.0,2025,2,10,6,1.67
Obfuscated Files or Information,-0.2,4.0,2020,6,18,6,3.0
Peripheral Device Discovery,-0.2,1.0,2017,3,9,6,1.5
Process Injection,-0.2,1.0,2018,4,15,6,2.5
Software Deployment Tools,-0.208,0.5,2025,2,7,5,1.4
System Service Discovery,-0.214,2.0,2022,4,15,8,1.88
Command and Scripting Interpreter,-0.222,2.0,2018,4,17,7,2.43
Domain Account,-0.222,4.0,2025,6,32,10,3.2
Encrypted/Encoded File,-0.222,3.0,2018,8,40,10,4.0
Remote System Discovery,-0.222,5.0,2024,8,40,10,4.0
Windows Management Instrumentation,-0.222,3.0,2021,6,42,10,4.2
Automated Exfiltration,-0.25,0.5,2024,2,7,5,1.4
Data Destruction,-0.25,0.0,2019,2,6,5,1.2
Data from Local System,-0.25,4.0,2023,7,45,9,5.0
Data from Removable Media,-0.25,0.0,2017,2,4,3,1.33
Dead Drop Resolver,-0.25,0.0,2017,2,6,5,1.2
Dynamic Linker Hijacking,-0.25,-0.25,2020,2,3,2,1.5
Email Account,-0.25,0.0,2020,2,4,3,1.33
Encrypted Channel,-0.25,0.5,2022,2,4,3,1.33
Exploitation for Privilege Escalation,-0.25,2.0,2017,4,22,9,2.44
Fast Flux DNS,-0.25,-0.25,2020,2,3,2,1.5
Hidden Files and Directories,-0.25,1.0,2023,3,12,7,1.71
Identify Roles,-0.25,0.0,2022,2,4,3,1.33
Search Open Websites/Domains,-0.25,0.25,2025,2,6,4,1.5
OS Credential Dumping,-0.278,2.0,2020,3,13,7,1.86
Credentials from Web Browsers,-0.286,5.0,2020,8,23,8,2.88
Modify Registry,-0.286,5.0,2024,7,29,8,3.62
Remote Email Collection,-0.286,2.0,2021,3,13,8,1.62
Local Accounts,-0.3,2.0,2020,4,12,6,2.0
Remote Access Tools,-0.3,3.0,2024,4,12,6,2.0
Protocol Tunneling,-0.306,3.0,2025,4,15,7,2.14
Automated Collection,-0.312,2.0,2024,4,21,9,2.33
Application Layer Protocol,-0.333,0.0,2020,2,5,4,1.25
Cloud Account,-0.333,-0.333,2022,2,3,2,1.5
Code Signing,-0.333,2.0,2020,5,27,10,2.7
DNS Server,-0.333,0.0,2022,2,4,4,1.0
Domains,-0.333,6.0,2021,12,46,7,6.57
Gather Victim Org Information,-0.333,0.0,2025,2,7,4,1.75
Indicator Removal from Tools,-0.333,1.0,2018,3,7,4,1.75
Local Data Staging,-0.333,4.0,2021,6,28,10,2.8
Masquerade Account Name,-0.333,0.333,2024,2,4,3,1.33
Msiexec,-0.333,0.0,2020,2,6,4,1.5
Server,-0.333,3.0,2024,4,15,7,2.14
Social Media Accounts,-0.333,2.0,2025,4,18,7,2.57
System Shutdown/Reboot,-0.333,-0.333,2019,3,4,2,2.0
Web Services,-0.333,2.0,2022,7,28,7,4.0
Registry Run Keys / Startup Folder,-0.375,5.0,2018,13,56,9,6.22
Data Encrypted for Impact,-0.4,2.0,2024,5,18,6,3.0
LSASS Memory,-0.444,3.0,2020,8,44,10,4.4
Match Legitimate Resource Name or Location,-0.444,9.0,2021,12,61,10,6.1
SMB/Windows Admin Shares,-0.444,5.0,2020,6,27,10,2.7
System Owner/User Discovery,-0.444,4.0,2021,6,40,10,4.0
Credentials from Password Stores,-0.467,1.667,2020,6,12,6,2.0
Bootkit,-0.5,-0.5,2017,2,3,2,1.5
Cloud API,-0.5,-0.5,2023,2,3,2,1.5
Default Accounts,-0.5,0.0,2023,2,4,3,1.33
Drive-by Target,-0.5,0.0,2021,4,8,3,2.67
Execution Guardrails,-0.5,0.0,2024,2,4,3,1.33
IP Addresses,-0.5,-0.5,2021,2,3,2,1.5
JavaScript,-0.5,4.0,2020,8,26,8,3.25
Right-to-Left Override,-0.5,0.0,2020,2,5,3,1.67
System Network Connections Discovery,-0.5,4.0,2021,6,32,9,3.56
VNC,-0.5,0.0,2020,2,4,3,1.33
