technique,first_seen,last_seen,lifespan_years,active_years,total_groups,persistence_score,status
Virtualization/Sandbox Evasion,2021,2025,4,3,3,0.505,Active
Additional Local or Domain Groups,2018,2024,6,5,7,0.495,Active
Code Repositories,2022,2025,3,3,5,0.495,Active
Local Groups,2017,2023,6,6,7,0.495,Active
Data from Removable Media,2017,2024,7,3,4,0.49,Active
Double File Extension,2021,2025,4,2,2,0.49,Active
Upload Tool,2021,2025,4,2,2,0.49,Active
Compromise Software Supply Chain,2019,2024,5,5,9,0.485,Active
DCSync,2022,2025,3,2,4,0.48,Active
DNS Server,2022,2025,3,4,4,0.48,Active
Identify Roles,2022,2025,3,3,4,0.48,Active
Indicator Removal,2022,2025,3,3,4,0.48,Active
Masquerade File Type,2023,2026,3,4,4,0.48,Active
Network Topology,2023,2026,3,4,4,0.48,Active
Reflective Code Loading,2022,2025,3,3,4,0.48,Active
Application Window Discovery,2017,2024,7,3,3,0.475,Active
Additional Cloud Roles,2022,2025,3,3,3,0.465,Active
Cloud Account,2022,2025,3,2,3,0.465,Active
Acquire Infrastructure,2024,2025,1,2,8,0.46,Active
Log Enumeration,2023,2025,2,3,5,0.455,Active
Cloud Administration Command,2023,2026,3,2,2,0.45,Active
Delete Cloud Instance,2022,2025,3,2,2,0.45,Active
Default Accounts,2023,2025,2,3,4,0.44,Active
Execution Guardrails,2024,2026,2,3,4,0.44,Active
Network Devices,2023,2025,2,3,4,0.44,Active
Software Discovery,2020,2023,3,4,11,0.435,Active
Account Discovery,2023,2025,2,3,3,0.425,Active
BITS Jobs,2018,2023,5,3,5,0.425,Active
Cloud API,2023,2025,2,2,3,0.425,Active
Cloud Services,2023,2025,2,3,3,0.425,Active
Ignore Process Interrupts,2024,2026,2,3,3,0.425,Active
RC Scripts,2023,2025,2,2,3,0.425,Active
Spearphishing Voice,2023,2025,2,3,3,0.425,Active
Disable or Modify Windows Event Log,2017,2023,6,2,2,0.42,Active
One-Way Communication,2018,2024,6,2,2,0.42,Active
Clear Network Connection History and Configurations,2023,2025,2,2,2,0.41,Active
Compile After Delivery,2019,2024,5,3,4,0.41,Active
Web Portal Capture,2024,2026,2,2,2,0.41,Active
Search Victim-Owned Websites,2020,2024,4,4,6,0.4,Active
Drive-by Target,2021,2024,3,3,8,0.39,Active
Embedded Payloads,2024,2025,1,2,3,0.385,Active
Malicious Copy and Paste,2025,2026,1,2,3,0.385,Active
Transfer Data to Cloud Account,2024,2025,1,2,3,0.385,Active
Email Hiding Rules,2019,2024,5,2,2,0.38,Active
GUI Input Capture,2019,2024,5,2,2,0.38,Active
Steal Application Access Token,2019,2024,5,2,2,0.38,Active
Artificial Intelligence,2025,2026,1,2,2,0.37,Active
Cloud Infrastructure Discovery,2024,2025,1,2,2,0.37,Active
Compromise Host Software Binary,2024,2025,1,2,2,0.37,Active
Conditional Access Policies,2024,2025,1,2,2,0.37,Active
Databases,2020,2024,4,2,4,0.37,Active
Delay Execution,2025,2026,1,2,2,0.37,Active
Email Account,2020,2024,4,3,4,0.37,Active
Hide Infrastructure,2024,2025,1,2,2,0.37,Active
Mutual Exclusion,2025,2026,1,2,2,0.37,Active
Query Public AI Services,2025,2026,1,2,2,0.37,Active
Trust Modification,2024,2025,1,2,2,0.37,Active
Windows Credential Manager,2019,2023,4,3,4,0.37,Active
Cron,2020,2024,4,3,3,0.355,Active
Dynamic Linker Hijacking,2020,2024,4,2,3,0.355,Active
Fast Flux DNS,2020,2024,4,2,3,0.355,Active
Internal Defacement,2020,2024,4,3,3,0.355,Active
Kerberoasting,2020,2024,4,3,3,0.355,Active
Messaging Applications,2020,2024,4,3,3,0.355,Active
LNK Icon Smuggling,2025,2025,0,1,3,0.345,Active
